Set_ID,Name,Year,Theme,Theme_Group,Subtheme,Category,Packaging,Num_Instructions,Availability,Pieces,Minifigures,Owned,Rating,Total_Quantity,Current_Price
21010-1,Robie House,2011,Architecture,Model making,Architect Series,Normal,Box,2,Retail - limited,2276.0,,2781.0,4.5,2.0,593.01
21011-1,Brandenburg Gate,2011,Architecture,Model making,Landmark Series,Normal,Box,2,Retail - limited,363.0,,5596.0,3.8,8.0,93.0
30014-1,Police Helicopter,2011,City,Modern day,Police,Normal,Polybag,1,Promotional,32.0,1.0,3407.0,3.0,3.0,4.4868
30023-1,Lighthouse,2011,Creator,Model making,Promotional,Normal,Polybag,1,Promotional,25.0,,1593.0,0.0,5.0,9.99
30024-1,Truck,2011,Creator,Model making,Promotional,Normal,Polybag,0,Promotional,56.0,,1441.0,3.5,1.0,7.04
30025-1,Clown Fish,2011,Creator,Model making,Promotional,Normal,Polybag,0,Promotional,59.0,,1227.0,3.9,2.0,8.99
30026-1,Panda,2011,Creator,Model making,Promotional,Normal,Polybag,0,Promotional,62.0,,837.0,0.0,1.0,12.0086
30028-1,Holiday Wreath,2011,Creator,Model making,Seasonal,Normal,Polybag,0,Promotional,50.0,,1531.0,0.0,3.0,11.7
30052-1,AAT,2011,Star Wars,Licensed,Episode I,Normal,Polybag,0,Promotional,46.0,,1663.0,3.3,10.0,19.0
30053-1,Republic Attack Cruiser,2011,Star Wars,Licensed,The Clone Wars,Normal,Polybag,0,Promotional,41.0,,6574.0,3.5,35.0,8.5
30054-1,AT-ST,2011,Star Wars,Licensed,Episode VI,Normal,Polybag,0,Promotional,46.0,,3270.0,3.6,8.0,8.0
30055-1,Vulture Droid,2011,Star Wars,Licensed,Mini Building Set,Normal,Polybag,1,Promotional,42.0,,2942.0,3.5,9.0,9.0
30080-1,Ninja Glider,2011,Ninjago,Action/Adventure,Pilot Season,Normal,Polybag,0,Promotional,26.0,1.0,3353.0,3.5,50.0,9.99
30081-1,Skeleton Chopper,2011,Ninjago,Action/Adventure,Pilot Season,Normal,Polybag,0,Promotional,41.0,1.0,1973.0,3.0,1.0,7.99
30084-1,Jay,2011,Ninjago,Action/Adventure,Promotional,Normal,Polybag,0,Promotional,5.0,1.0,572.0,0.0,1.0,12.6
30110-1,Trolley,2011,Harry Potter,Licensed,Mini Building Set,Normal,Polybag,1,Promotional,22.0,1.0,3978.0,3.5,8.0,9.99
